Id,AccountNumber,SubNumber,ParentId,Name_en,Name_fr,Name_ar,UpdateDate,Status,TimeStamp
807,1,1,,EQUITY & LONG TERM DEBTS,COMPTES DE CAPITAUX PERMANENTS,EQUITY & LONG TERM DEBTS,2010-07-13 12:30:45.937000,1,b'\x00\x00\x00\x00\x00\x01!\x11'
808,2,2,,ACCOUNTS OF FIXED ASSETS,COMPTES D'IMMOBILISATIONS,ACCOUNTS OF FIXED ASSETS,2010-07-13 12:30:45.937000,1,b'\x00\x00\x00\x00\x00\x01!\x12'
809,3,3,,INVENTORY AND GOODS IN PROCESS,COMPTES DE STOCK ET EN COURS,INVENTORY AND GOODS IN PROCESS,2010-07-13 12:30:45.937000,1,b'\x00\x00\x00\x00\x00\x01!\x13'
810,4,4,,THIRD PARTY,COMPTES DE TIERS,THIRD PARTY,2011-03-03 08:42:53.670000,1,b'\x00\x00\x00\x00\x00\x01!\x14'
811,5,5,,FINANCIAL ACCOUNTS,COMPTES FINANCIERS,FINANCIAL ACCOUNTS,2010-07-13 12:30:45.937000,1,b'\x00\x00\x00\x00\x00\x01!\x15'
812,6,6,,Expenditure,COMPTES DE CHARGES,Expenditure,2011-03-03 11:09:31.263000,1,b'\x00\x00\x00\x00\x00\x01!\x16'
813,7,7,,INCOME,COMPTES DE PRODUITS,INCOME,2010-07-13 12:30:45.937000,1,b'\x00\x00\x00\x00\x00\x01!\x17'
814,10,0,1,CAPITAL,Capital,CAPITAL,2010-07-13 12:30:45.937000,1,b'\x00\x00\x00\x00\x00\x01!\x18'
815,11,1,1,RESERVES,Réserves,RESERVES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x19'
816,12,2,1,BROUGHT FORWARD RESULTS,Report à nouveau,BROUGHT FORWARD RESULTS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x1a'
817,13,3,1,NET RESULT OF THE FINANCIAL PERIOD  (PRO,Résultat de l'exercise,NET RESULT OF THE FINANCIAL PERIOD  (PRO,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x1b'
818,14,4,1,INVESTMENT SUBSIDIES,Subventions d'investissement,INVESTMENT SUBSIDIES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x1c'
819,15,5,1,PROVISIONS FOR CONTINGENCIES & CHARGES,Provisions pour risques et charges,PROVISIONS FOR CONTINGENCIES & CHARGES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x1d'
820,16,6,1,LONG & MEDIUM TERM DEBTS,Dettes financ. à long et moy. terme,LONG & MEDIUM TERM DEBTS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x1e'
821,18,8,1,ACCOUNTS WITH AFFILIATED COMPANIES,Comptes de liaison,ACCOUNTS WITH AFFILIATED COMPANIES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\x1f'
822,21,1,2,INTANGIBLE FIXED ASSETS,Immobilisations incorporelles,INTANGIBLE FIXED ASSETS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01! '
823,22,2,2,TANGIBLE FIXED ASSETS,Immobilisations corporelles,TANGIBLE FIXED ASSETS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!!'
824,25,5,2,FINANCIAL FIXED ASSETS,Immobilisations financières,FINANCIAL FIXED ASSETS,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01!""'"
825,28,8,2,DEPRECIATION OF FIXED ASSETS,Amortissement des immobilisations,DEPRECIATION OF FIXED ASSETS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!#'
826,31,1,3,RAW MATERIALS AND CONSUMABLE GOODS,Approvisionnements,RAW MATERIALS AND CONSUMABLE GOODS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!$'
827,33,3,3,"GOODS IN PROCESS ( GOODS,WORKS AND SERVI",En cours de productions,"GOODS IN PROCESS ( GOODS,WORKS AND SERVI",2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!%'
828,35,5,3,PRODUCTS,Stocks de produits,PRODUCTS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!&'
829,37,7,3,MERCHANDISE FOR SALE,Stocks de marchandises,MERCHANDISE FOR SALE,2010-07-13 12:30:45.937000,0,"b""\x00\x00\x00\x00\x00\x01!'"""
830,39,9,3,PROVISIONS FOR DIMUNITION IN VALUE OF IN,Prov. pr dépréciat. pdts en cours,PROVISIONS FOR DIMUNITION IN VALUE OF IN,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!('
831,40,0,4,Creditors,Creditors,Creditors,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!)'
832,41,1,4,DEBTORS ( CUSTOMERS ),Clients,DEBTORS ( CUSTOMERS ),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!*'
833,42,2,4,PERSONNEL,Personnel,PERSONNEL,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!+'
834,43,3,4,SOCIAL SECURITY,Organismes sociaux,SOCIAL SECURITY,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01!,'"
835,44,4,4,GOV'T AND PUBLIC INSTITUTIONS,Etat et collectivités Publiques,GOV'T AND PUBLIC INSTITUTIONS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!-'
836,45,5,4,PARTNERS,Associés,PARTNERS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!.'
837,46,6,4,MISCELLANEOUS ACCOUNTS RECEIVABLES & PAY,Tiers divers,MISCELLANEOUS ACCOUNTS RECEIVABLES & PAY,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!/'
838,47,7,4,PRE-PAYMENTS & ACCRUALS,Comptes de régularisation,PRE-PAYMENTS & ACCRUALS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!0'
839,50,0,5,SECURITY PLACEMENTS,Valeurs mobilières de placement,SECURITY PLACEMENTS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!1'
840,51,1,5,FINANCIAL INSTITUTIONS,Etablissements financiers,FINANCIAL INSTITUTIONS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!2'
841,53,3,5,CASH,Caisse,CASH,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!3'
842,58,8,5,INTERCOMPANY,Virements internes,INTERCOMPANY,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!4'
843,59,9,5,PROVISION,Prov. pr dépr. valeurs mob. de pla.,PROVISION,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!5'
844,60,0,6,Purchase and variation of inventory,Achat marchandises et variat. stock,Purchase and variation of inventory,2011-03-03 11:10:56.123000,0,b'\x00\x00\x00\x00\x00\x01!6'
845,61,1,6,PURCHASES RAW MATERIALS & CONSUMABLES,Achat d'approv. et variat. de stock,PURCHASES RAW MATERIALS & CONSUMABLES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!7'
846,62,2,6,OTHER CHARGES & DISBURSMENTS,Autres charges externes,OTHER CHARGES & DISBURSMENTS,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!8'
847,63,3,6,PERSONNEL CHARGES,Charges de personnel,PERSONNEL CHARGES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!9'
848,64,4,6,FEES & TAXES,"Impôts, taxes et versements assim.",FEES & TAXES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!:'
849,65,5,6,"AMORTIZATION, DEPRECIATION & PROVISIONS",Dotat. aux amort. et prov. d'expl.,"AMORTIZATION, DEPRECIATION & PROVISIONS",2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!;'
850,66,6,6,OTHER OPERATING CHARGES,Autres charges d'exploitation,OTHER OPERATING CHARGES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!<'
851,67,7,6,FINANCIAL CHARGES,Charges financières,FINANCIAL CHARGES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!='
852,68,8,6,NON-OPERATING CHARGES,Charges hors exploitation,NON-OPERATING CHARGES,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!>'
853,69,9,6,INCOME TAX,Impôts sur bénéfices,INCOME TAX,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!?'
854,70,0,7,Sales,Ventes de marchandises,Sales,2011-03-03 11:03:27.153000,0,b'\x00\x00\x00\x00\x00\x01!@'
855,71,1,7,SALES OF PRODUCTION,Production vendue,SALES OF PRODUCTION,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!A'
856,72,2,7,PRODUCTION ( VARIATION ),Production stockée,PRODUCTION ( VARIATION ),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!B'
